Country_,HDI_2010,HDI_2011,HDI_2012,HDI_2013,HDI_2014,HDI_2015,HDI_2016,HDI_2017,Country
Afghanistan,0.463,0.471,0.482,0.487,0.491,0.493,0.494,0.498,Afghanistan
Albania,0.741,0.752,0.767,0.771,0.773,0.776,0.782,0.785,Albania
Algeria,0.729,0.736,0.74,0.745,0.747,0.749,0.753,0.754,Algeria
Argentina,0.813,0.819,0.818,0.82,0.82,0.822,0.822,0.825,Argentina
Armenia,0.728,0.731,0.737,0.742,0.745,0.748,0.749,0.755,Armenia
Australia,0.923,0.925,0.929,0.931,0.933,0.936,0.938,0.939,Australia
Austria,0.895,0.897,0.899,0.897,0.901,0.903,0.906,0.908,Austria
Azerbaijan,0.74,0.741,0.745,0.752,0.758,0.758,0.757,0.757,Azerbaijan
Bahamas,0.789,0.793,0.807,0.807,0.807,0.807,0.806,0.807,Bahamas
Bahrain,0.796,0.798,0.8,0.807,0.81,0.832,0.846,0.846,Bahrain
Bangladesh,0.545,0.557,0.567,0.575,0.583,0.592,0.597,0.608,Bangladesh
Belarus,0.792,0.798,0.803,0.804,0.807,0.805,0.805,0.808,Belarus
Belgium,0.903,0.904,0.905,0.908,0.909,0.913,0.915,0.916,Belgium
Benin,0.473,0.479,0.489,0.5,0.505,0.508,0.512,0.515,Benin
Bhutan,0.566,0.575,0.585,0.589,0.599,0.603,0.609,0.612,Bhutan
Bolivia ,0.649,0.655,0.662,0.668,0.675,0.681,0.689,0.693,Bolivia 
Bosnia_and_Herzegovina,0.713,0.721,0.739,0.747,0.754,0.755,0.766,0.768,Bosnia_and_Herzegovina
Botswana,0.66,0.673,0.683,0.693,0.701,0.706,0.712,0.717,Botswana
Brazil,0.727,0.731,0.736,0.748,0.752,0.757,0.758,0.759,Brazil
Brunei_Darussalam,0.842,0.846,0.852,0.853,0.853,0.852,0.852,0.853,Brunei_Darussalam
Bulgaria,0.779,0.782,0.786,0.792,0.797,0.807,0.81,0.813,Bulgaria
Burkina_Faso,0.375,0.385,0.394,0.401,0.405,0.412,0.42,0.423,Burkina_Faso
Burundi,0.395,0.403,0.408,0.414,0.421,0.418,0.418,0.417,Burundi
Cabo_Verde,0.629,0.635,0.636,0.642,0.644,0.647,0.652,0.654,Cabo_Verde
Cambodia,0.537,0.546,0.553,0.56,0.566,0.571,0.576,0.582,Cambodia
Cameroon,0.506,0.515,0.526,0.535,0.543,0.548,0.553,0.556,Cameroon
Canada,0.902,0.905,0.908,0.911,0.918,0.92,0.922,0.926,Canada
Central_African,0.351,0.358,0.365,0.344,0.349,0.357,0.362,0.367,Central_African
Chad,0.371,0.382,0.391,0.397,0.403,0.407,0.405,0.404,Chad
Chile,0.808,0.814,0.819,0.828,0.833,0.84,0.842,0.843,Chile
China,0.706,0.714,0.722,0.729,0.738,0.743,0.748,0.752,China
Colombia,0.719,0.725,0.725,0.735,0.738,0.742,0.747,0.747,Colombia
Congo,0.557,0.56,0.573,0.582,0.595,0.613,0.612,0.606,Congo
Costa_Rica,0.754,0.76,0.772,0.776,0.78,0.788,0.791,0.794,Costa_Rica
Côte_d_Ivoire,0.442,0.445,0.454,0.462,0.465,0.478,0.486,0.492,Côte_d_Ivoire
Croatia,0.808,0.815,0.816,0.821,0.824,0.827,0.828,0.831,Croatia
Cuba,0.779,0.778,0.767,0.765,0.768,0.772,0.774,0.777,Cuba
Cyprus,0.85,0.853,0.852,0.853,0.856,0.86,0.867,0.869,Cyprus
Czechia,0.862,0.865,0.865,0.874,0.879,0.882,0.885,0.888,Czechia
Denmark,0.91,0.922,0.924,0.931,0.928,0.926,0.928,0.929,Denmark
Djibouti,0.449,0.454,0.459,0.463,0.467,0.47,0.474,0.476,Djibouti
Dominican_Republic,0.703,0.706,0.71,0.713,0.718,0.729,0.733,0.736,Dominican_Republic
Ecuador,0.715,0.721,0.726,0.734,0.742,0.743,0.749,0.752,Ecuador
Egypt,0.665,0.668,0.675,0.68,0.683,0.691,0.694,0.696,Egypt
Equatorial_Guinea,0.581,0.584,0.589,0.59,0.59,0.593,0.593,0.591,Equatorial_Guinea
Eritrea,0.416,0.417,0.422,0.425,0.428,0.433,0.436,0.44,Eritrea
Estonia,0.845,0.853,0.859,0.862,0.864,0.866,0.868,0.871,Estonia
Eswatini ,0.538,0.55,0.561,0.572,0.58,0.584,0.586,0.588,Eswatini 
Ethiopia,0.412,0.423,0.43,0.438,0.445,0.451,0.457,0.463,Ethiopia
Fiji,0.711,0.717,0.719,0.727,0.73,0.738,0.738,0.741,Fiji
Finland,0.903,0.907,0.908,0.912,0.914,0.915,0.918,0.92,Finland
France,0.882,0.884,0.886,0.889,0.894,0.898,0.899,0.901,France
Gabon,0.665,0.67,0.678,0.687,0.693,0.694,0.698,0.702,Gabon
Gambia,0.441,0.44,0.445,0.453,0.454,0.457,0.457,0.46,Gambia
Georgia,0.735,0.741,0.75,0.757,0.765,0.771,0.776,0.78,Georgia
Germany,0.921,0.926,0.928,0.928,0.93,0.933,0.934,0.936,Germany
Ghana,0.554,0.563,0.57,0.577,0.576,0.585,0.588,0.592,Ghana
Greece,0.856,0.852,0.854,0.856,0.864,0.866,0.868,0.87,Greece
Guinea,0.404,0.418,0.428,0.435,0.44,0.443,0.449,0.459,Guinea
Guinea_Bissau,0.426,0.435,0.437,0.44,0.445,0.449,0.453,0.455,Guinea_Bissau
Hong Kong,0.901,0.904,0.911,0.915,0.923,0.927,0.93,0.933,Hong Kong
Hungary,0.823,0.827,0.83,0.835,0.833,0.834,0.835,0.838,Hungary
Iceland,0.891,0.901,0.909,0.92,0.925,0.927,0.933,0.935,Iceland
India,0.581,0.591,0.6,0.607,0.618,0.627,0.636,0.64,India
Indonesia,0.661,0.669,0.675,0.681,0.683,0.686,0.691,0.694,Indonesia
Iran,0.755,0.766,0.781,0.784,0.788,0.789,0.796,0.798,Iran
Iraq,0.649,0.656,0.659,0.666,0.666,0.668,0.672,0.685,Iraq
Ireland,0.909,0.895,0.902,0.911,0.921,0.929,0.934,0.938,Ireland
Italy,0.87,0.875,0.874,0.876,0.874,0.876,0.878,0.88,Italy
Jamaica,0.712,0.715,0.721,0.726,0.728,0.73,0.732,0.732,Jamaica
Japan,0.885,0.89,0.895,0.899,0.903,0.905,0.907,0.909,Japan
Jordan,0.728,0.726,0.726,0.727,0.73,0.733,0.735,0.735,Jordan
Kazakhstan,0.765,0.772,0.781,0.788,0.793,0.797,0.797,0.8,Kazakhstan
Kenya,0.543,0.552,0.559,0.566,0.572,0.578,0.585,0.59,Kenya
Korea,0.884,0.888,0.89,0.893,0.896,0.898,0.9,0.903,Korea
Kuwait,0.792,0.794,0.796,0.795,0.799,0.802,0.804,0.803,Kuwait
Kyrgyzstan,0.636,0.639,0.649,0.658,0.663,0.666,0.669,0.672,Kyrgyzstan
Latvia,0.816,0.821,0.824,0.833,0.838,0.841,0.844,0.847,Latvia
Lebanon,0.758,0.76,0.751,0.751,0.751,0.752,0.753,0.757,Lebanon
Liberia,0.407,0.417,0.42,0.429,0.431,0.432,0.432,0.435,Liberia
Libya,0.755,0.707,0.741,0.707,0.695,0.694,0.693,0.706,Libya
Liechtenstein,0.904,0.909,0.913,0.912,0.911,0.912,0.915,0.916,Liechtenstein
Lithuania,0.824,0.828,0.831,0.836,0.851,0.852,0.855,0.858,Lithuania
Luxembourg,0.889,0.892,0.892,0.892,0.895,0.899,0.904,0.904,Luxembourg
Macedonia,0.735,0.738,0.74,0.743,0.747,0.754,0.756,0.757,Macedonia
Madagascar,0.504,0.504,0.507,0.509,0.512,0.514,0.517,0.519,Madagascar
Malawi,0.441,0.45,0.455,0.461,0.468,0.47,0.474,0.477,Malawi
Malaysia,0.772,0.778,0.781,0.785,0.79,0.795,0.799,0.802,Malaysia
Maldives,0.671,0.682,0.688,0.696,0.705,0.71,0.712,0.717,Maldives
Mali,0.403,0.408,0.408,0.408,0.414,0.418,0.421,0.427,Mali
Malta,0.843,0.843,0.849,0.856,0.862,0.871,0.875,0.878,Malta
Mauritania,0.487,0.49,0.499,0.508,0.514,0.514,0.516,0.52,Mauritania
Mauritius,0.749,0.758,0.767,0.772,0.782,0.782,0.788,0.79,Mauritius
Mexico,0.743,0.751,0.757,0.756,0.761,0.767,0.772,0.774,Mexico
Micronesia,0.608,0.613,0.616,0.619,0.618,0.627,0.627,0.627,Micronesia
Montenegro,0.793,0.798,0.8,0.803,0.805,0.809,0.81,0.814,Montenegro
Morocco,0.616,0.626,0.635,0.645,0.65,0.655,0.662,0.667,Morocco
Mozambique,0.403,0.407,0.412,0.423,0.427,0.432,0.435,0.437,Mozambique
Myanmar,0.53,0.54,0.549,0.558,0.564,0.569,0.574,0.578,Myanmar
Nepal,0.529,0.535,0.548,0.554,0.56,0.566,0.569,0.574,Nepal
Netherlands,0.91,0.921,0.921,0.923,0.924,0.926,0.928,0.931,Netherlands
New Zealand,0.899,0.902,0.905,0.907,0.91,0.914,0.915,0.917,New Zealand
Nicaragua,0.621,0.627,0.633,0.639,0.649,0.652,0.657,0.658,Nicaragua
Niger,0.318,0.325,0.336,0.34,0.345,0.347,0.351,0.354,Niger
Nigeria,0.484,0.494,0.512,0.519,0.524,0.527,0.53,0.532,Nigeria
Norway,0.942,0.943,0.942,0.946,0.946,0.948,0.951,0.953,Norway
Oman,0.793,0.795,0.804,0.812,0.815,0.822,0.822,0.821,Oman
Pakistan,0.526,0.53,0.535,0.538,0.548,0.551,0.56,0.562,Pakistan
Palau,0.769,0.775,0.778,0.78,0.786,0.793,0.798,0.798,Palau
Palestine,0.672,0.677,0.687,0.679,0.679,0.687,0.689,0.686,Palestine
Panama,0.758,0.764,0.771,0.776,0.781,0.781,0.785,0.789,Panama
Paraguay,0.675,0.68,0.68,0.695,0.698,0.702,0.702,0.702,Paraguay
Peru,0.717,0.729,0.729,0.736,0.746,0.745,0.748,0.75,Peru
Philippines,0.665,0.67,0.677,0.685,0.689,0.693,0.696,0.699,Philippines
Poland,0.835,0.839,0.836,0.85,0.842,0.855,0.86,0.865,Poland
Portugal,0.822,0.826,0.829,0.837,0.839,0.842,0.845,0.847,Portugal
Qatar,0.825,0.836,0.844,0.854,0.853,0.854,0.855,0.856,Qatar
Romania,0.797,0.798,0.795,0.8,0.802,0.805,0.807,0.811,Romania
Russian_Federation,0.78,0.789,0.798,0.804,0.807,0.813,0.815,0.816,Russian_Federation
Rwanda,0.485,0.493,0.5,0.503,0.509,0.51,0.52,0.524,Rwanda
Saint_Kitts_and_Nevis,0.745,0.751,0.756,0.763,0.77,0.773,0.774,0.778,Saint_Kitts_and_Nevis
Samoa,0.693,0.697,0.697,0.7,0.703,0.706,0.711,0.713,Samoa
Sao_Tome_and_Principe,0.542,0.548,0.551,0.56,0.567,0.58,0.584,0.589,Sao_Tome_and_Principe
Saudi_Arabia,0.808,0.823,0.835,0.844,0.852,0.854,0.854,0.853,Saudi_Arabia
Senegal,0.456,0.467,0.476,0.481,0.486,0.492,0.499,0.505,Senegal
Serbia,0.759,0.769,0.768,0.771,0.775,0.78,0.785,0.787,Serbia
Sierra_Leone,0.385,0.392,0.407,0.419,0.423,0.413,0.413,0.419,Sierra_Leone
Singapore,0.909,0.914,0.92,0.923,0.928,0.929,0.93,0.932,Singapore
Slovakia,0.829,0.837,0.842,0.844,0.845,0.851,0.853,0.855,Slovakia
Slovenia,0.882,0.884,0.877,0.885,0.887,0.889,0.894,0.896,Slovenia
South_Africa,0.649,0.657,0.664,0.675,0.685,0.692,0.696,0.699,South_Africa
South_Sudan,0.413,0.416,0.388,0.392,0.397,0.399,0.394,0.388,South_Sudan
Spain,0.865,0.87,0.873,0.875,0.88,0.885,0.889,0.891,Spain
Sri_Lanka,0.745,0.751,0.757,0.759,0.763,0.766,0.768,0.77,Sri_Lanka
Sudan,0.47,0.474,0.485,0.475,0.492,0.497,0.499,0.502,Sudan
Suriname,0.703,0.706,0.711,0.715,0.718,0.722,0.719,0.72,Suriname
Sweden,0.905,0.906,0.908,0.912,0.92,0.929,0.932,0.933,Sweden
Switzerland,0.932,0.932,0.935,0.938,0.939,0.942,0.943,0.944,Switzerland
Syria,0.644,0.642,0.631,0.572,0.55,0.538,0.536,0.536,Syria
Tajikistan,0.634,0.637,0.642,0.646,0.645,0.645,0.647,0.65,Tajikistan
Tanzania,0.493,0.499,0.506,0.507,0.515,0.528,0.533,0.538,Tanzania
Thailand,0.724,0.727,0.731,0.728,0.735,0.741,0.748,0.755,Thailand
Togo,0.456,0.463,0.466,0.472,0.481,0.495,0.5,0.503,Togo
Tonga,0.712,0.716,0.717,0.716,0.717,0.721,0.724,0.726,Tonga
Trinidad and Tobago,0.775,0.773,0.774,0.779,0.779,0.783,0.785,0.784,Trinidad and Tobago
Tunisia,0.716,0.718,0.719,0.723,0.725,0.728,0.732,0.735,Tunisia
Turkey,0.734,0.753,0.76,0.771,0.778,0.783,0.787,0.791,Turkey
Turkmenistan,0.673,0.68,0.686,0.692,0.697,0.701,0.705,0.706,Turkmenistan
Uganda,0.486,0.49,0.492,0.496,0.5,0.505,0.508,0.516,Uganda
Ukraine,0.733,0.738,0.743,0.745,0.748,0.743,0.746,0.751,Ukraine
United _Arab_Emirates,0.836,0.841,0.846,0.851,0.855,0.86,0.862,0.863,United _Arab_Emirates
United_Kingdom,0.905,0.899,0.898,0.915,0.919,0.918,0.92,0.922,United_Kingdom
United_States,0.914,0.917,0.918,0.916,0.918,0.92,0.922,0.924,United_States
Uruguay,0.773,0.782,0.79,0.797,0.801,0.8,0.802,0.804,Uruguay
Uzbekistan,0.666,0.674,0.683,0.69,0.695,0.698,0.703,0.71,Uzbekistan
Venezuela,0.759,0.771,0.774,0.776,0.778,0.775,0.766,0.761,Venezuela
Vietnam,0.654,0.664,0.67,0.675,0.678,0.684,0.689,0.694,Vietnam
Yemen,0.498,0.499,0.505,0.507,0.505,0.483,0.462,0.452,Yemen
Zambia,0.544,0.556,0.569,0.574,0.58,0.583,0.586,0.588,Zambia
Zimbabwe,0.467,0.478,0.505,0.516,0.525,0.529,0.532,0.535,Zimbabwe
