Country,dt_2012,dt_2013,dt_2014,dt_2015,dt_2016,dt_2017,dt_2018
Afghanistan,6.769,6.914,8.7,9.133,7.823,7.004,6.802
Argentina,38.949,41.689,43.587,55.079,54.955,57.576,62.704
Australia,27.773,30.726,34.148,37.836,40.632,40.807,40.513
Austria,81.611,81.011,83.799,84.346,83.556,78.55,74.237
Belarus,36.946,36.859,38.791,53.007,53.482,53.437,55.923
Bhutan,76.264,100.329,96.234,95.675,114.2,106.313,102.72
Bolivia,35.394,36.097,37.016,39.797,44.864,48.963,50.648
Canada,84.84,85.789,84.96,90.547,91.147,89.727,87.262
China,34.269,36.997,39.92,41.066,44.177,46.96,50.104
Colombia,33.998,37.617,43.319,50.419,49.971,49.354,48.695
Czech Republic,44.47,44.909,42.169,39.955,36.806,34.669,33.166
Denmark,44.894,44.046,44.27,39.926,37.868,35.294,34.739
Dominican Republic,29.999,33.896,33.289,32.71,34.626,37.202,36.51
Estonia,9.733,10.161,10.667,10.001,9.417,8.98,8.802
Fiji,51.621,49.664,48.214,46.205,47.465,48.864,49.761
Finland,53.91,56.458,60.2,63.537,62.949,61.332,60.516
France,90.602,93.412,94.889,95.582,96.587,96.801,96.688
Greece,159.586,177.946,180.212,178.779,183.453,181.779,188.064
Iceland,89.369,81.789,79.727,65.955,51.697,39.958,37.022
Indonesia,22.96,24.847,24.682,27.46,28.335,28.768,29.83
Iraq,34.782,31.987,32.862,59.883,66.028,59.726,51.771
Ireland,119.925,119.817,104.265,76.931,73.556,68.555,66.577
Italy,123.36,129.02,131.785,131.511,131.041,131.808,130.281
Japan,229.008,232.469,236.069,231.261,235.589,237.647,238.225
Kazakhstan,12.125,12.603,14.496,21.882,19.677,20.792,17.799
Kenya,43.88,43.96,48.562,51.466,53.202,54.217,56.101
Korea,32.201,25.39,37.314,39.526,39.889,39.529,40.36
Kyrgyzstan,48.975,46.191,52.253,64.894,55.907,55.952,54.961
Lithuania,39.774,38.759,40.541,42.589,40.107,39.734,36.956
Luxembourg,21.72,23.685,22.663,21.969,20.798,22.95,22.804
Malaysia,54.552,56.447,56.16,57.877,56.183,54.123,55.101
Mauritius,56.6,59.103,62.033,65.357,66.052,63.977,63.946
Mexico,42.65,45.899,48.882,52.834,56.762,54.332,53.815
Netherlands,65.511,67.005,67.1,63.97,61.299,56.45,53.099
New Zealand,35.724,34.606,34.234,34.3,33.455,31.696,30.357
Norway,30.16,30.426,28.173,32.953,36.358,36.462,36.358
Paraguay,11.937,12.765,15.14,18.096,18.925,19.452,20.351
Peru,21.166,19.96,20.653,24.031,24.429,25.429,26.389
Poland,53.716,55.692,50.253,51.122,54.162,50.622,49.988
Portugal,126.222,129.039,130.593,128.77,129.901,125.682,120.825
Romania,37.738,39.026,40.494,39.352,38.762,36.778,37.185
Russia,11.908,13.092,16.038,16.325,16.051,15.53,15.33
Rwanda,19.97,26.742,29.131,33.354,37.287,40.456,42.604
Singapore,105.082,101.487,96.641,100.5,106.774,111.105,112.85
Slovakia,52.165,54.739,53.547,52.341,51.819,50.864,49.236
Slovenia,53.786,70.379,80.34,82.622,78.562,73.617,69.654
South Africa,41,44.1,46.985,49.313,51.566,53.04,55.728
Spain,85.737,95.451,100.367,99.439,98.988,98.364,97.154
Sri Lanka,69.609,71.776,72.217,78.487,79.609,79.102,78.004
Switzerland,43.668,42.914,42.971,43.007,41.843,41.815,40.155
Tanzania,29.151,30.901,33.795,37.24,37.965,36.972,37.37
Uzbekistan,11.189,12.048,11.701,9.205,10.462,24.259,19.224
Zambia,25.425,27.088,36.137,62.26,60.668,63.102,70.883
